airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10577
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,15400
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,16079
Indigo,2019-05-27,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5601
Indigo,2019-06-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-06-03,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,5883
Indigo,2019-06-01,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Indigo,2019-06-21,Banglore,Delhi,18:15:00,21:20:00,185,0.0,No Info,4990
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,12242
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,18:15:00,1265,1.0,In-flight meal not included,10844
Air India,2019-06-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,9416
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13994
Jet Airways,2019-04-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Indigo,2019-05-27,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5530
Indigo,2019-06-09,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6015
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13044
Air Asia,2019-05-21,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,9719
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Air India,2019-06-12,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,8991
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,08:15:00,565,1.0,No Info,13555
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,10067
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,8018
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,16:45:00,1190,1.0,No Info,12395
Vistara,2019-04-09,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,8610
Indigo,2019-03-09,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,11532
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air India,2019-05-27,Delhi,Cochin,19:00:00,19:15:00,1455,1.0,No Info,8372
Air India,2019-04-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,7174
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,No Info,27992
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:00:00,1135,1.0,No Info,17261
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,12692
Goair,2019-06-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Goair,2019-06-06,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Indigo,2019-03-21,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5198
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Air India,2019-06-09,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9968
Spicejet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,8844
Indigo,2019-05-15,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Indigo,2019-03-03,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,6565
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
